Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
[15]     0.0    0.00    0.00      22         testing::internal::(anonymous namespace)::IsGlobPattern(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [15]
-----------------------------------------------
                0.00    0.00       3/21          testing::internal::Int32FromGTestEnv(char const*, int) [52]
                0.00    0.00       6/21          testing::internal::StringFromGTestEnv(char const*, char const*) [26]
                0.00    0.00      12/21          testing::internal::BoolFromGTestEnv(char const*, bool) [18]
[16]     0.0    0.00    0.00      21         testing::internal::FlagToEnvVar(char const*) [16]
                0.00    0.00      42/55          testing::Message::Message() [9]
                0.00    0.00      42/55          testing::internal::StringStreamToString(std::__cxx11::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >*) [10]
-----------------------------------------------
                0.00    0.00       1/13          testing::internal::PrettyUnitTestResultPrinter::OnEnvironmentsSetUpStart(testing::UnitTest const&) [108]
                0.00    0.00       1/13          testing::internal::PrettyUnitTestResultPrinter::OnEnvironmentsTearDownStart(testing::UnitTest const&) [110]
                0.00    0.00       1/13          testing::internal::PrettyUnitTestResultPrinter::OnTestCaseStart(testing::TestSuite const&) [102]
                0.00    0.00       1/13          testing::internal::PrettyUnitTestResultPrinter::OnTestIterationStart(testing::UnitTest const&, int) [106]
                0.00    0.00       1/13          testing::internal::PrettyUnitTestResultPrinter::OnTestCaseEnd(testing::TestSuite const&) [101]
                0.00    0.00       2/13          testing::internal::PrettyUnitTestResultPrinter::OnTestIterationEnd(testing::UnitTest const&, int) [104]
                0.00    0.00       3/13          testing::internal::PrettyUnitTestResultPrinter::OnTestStart(testing::TestInfo const&) [54]
                0.00    0.00       3/13          testing::internal::PrettyUnitTestResultPrinter::OnTestEnd(testing::TestInfo const&) [55]
[17]     0.0    0.00    0.00      13         testing::internal::PrintColorEncoded(char const*) [clone .constprop.0] [17]
                0.00    0.00       1/1           testing::internal::ShouldUseColor(bool) [86]
-----------------------------------------------
                0.00    0.00      12/12          _GLOBAL__sub_I__ZN7testing15AssertionResultC2ERKS0_ [132]
[18]     0.0    0.00    0.00      12         testing::internal::BoolFromGTestEnv(char const*, bool) [18]
                0.00    0.00      12/21          testing::internal::FlagToEnvVar(char const*) [16]
-----------------------------------------------
                0.00    0.00       6/12          testing::internal::ReportFailureInUnknownLocation(testing::TestPartResult::Type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [56]
                0.00    0.00       6/12          testing::TestInfo::Run() [75]
[19]     0.0    0.00    0.00      12         void testing::internal::HandleExceptionsInMethodIfSupported<testing::Test, void>(testing::Test*, void (testing::Test::*)(), char const*) [19]
